ID,Bloc,IDc_Lvl,Rep_Geo,R,W,Trial_in_Bloc,Time_Abs,Time_Rel,X,Y,P_Raw,Thickness,Err_Radiale,InT,Angle
P01,FVP_NoFB,1,2,350,100,1,20713.3183523,0.009577799999533454,959.4223661213146,892.4219270806626,3592.0,4,2.4224004630603417,1,1.5724353660175943
P01,FVP_NoFB,1,2,350,100,1,20713.3251305,0.01635600000008708,959.4223661213146,892.4219270806626,3576.0,4,2.4224004630603417,1,1.5724353660175943
P01,FVP_NoFB,1,2,350,100,1,20713.3321924,0.02341789999991306,959.4223661213146,892.4219270806626,3536.0,4,2.4224004630603417,1,1.5724353660175943
P01,FVP_NoFB,1,2,350,100,1,20713.3409317,0.03215719999934663,959.4223661213146,892.4219270806626,3504.0,4,2.4224004630603417,1,1.5724353660175943
P01,FVP_NoFB,1,2,350,100,1,20713.3489006,0.040126100000634324,959.0372768688577,892.3111635300754,3480.0,4,2.312478893017328,1,1.5735289133109402
P01,FVP_NoFB,1,2,350,100,1,20713.3564807,0.047706199999083765,958.4321366149967,892.2003999794882,3488.0,4,2.203889730516039,1,1.5752479203435201
P01,FVP_NoFB,1,2,350,100,1,20713.3644009,0.05562640000061947,957.4969198590298,891.978872878314,3496.0,4,1.9877730303716135,1,1.5779076568753767
P01,FVP_NoFB,1,2,350,100,1,20713.3727964,0.06402189999789698,955.6264863470961,891.6465822265525,3480.0,4,1.6737783987991293,1,1.5832329276016002
P01,FVP_NoFB,1,2,350,100,1,20713.3808608,0.07208629999877303,954.1961548379703,891.314291574791,3472.0,4,1.3622291643797553,1,1.5873152028750077
P01,FVP_NoFB,1,2,350,100,1,20713.3889341,0.08015959999829647,951.7755938225265,890.8712373724425,3480.0,4,0.9676139934294952,1,1.594231990789752
P01,FVP_NoFB,1,2,350,100,1,20713.3971146,0.08834009999918635,949.9051603105928,890.538946720681,3472.0,4,0.6842724679840444,1,1.5995864242360014
P01,FVP_NoFB,1,2,350,100,1,20713.4049103,0.09613579999859212,946.8244462909372,889.9851289677453,3480.0,4,0.23304486314492578,1,1.6084245963080956
P01,FVP_NoFB,1,2,350,100,1,20713.4138915,0.10511699999915436,944.4588980258445,889.5974565406901,3472.0,4,0.05727972953798144,1,1.615221354645505
