ID,Bloc,Task,FB,IDc_Lvl,R,W,Rep_Geo,Trial_in_Bloc,MT,RMSE,Pct_InT,Mean_Force,Std_Force,Timeout
PTEST,VP_NoFB,VP,0,5,400,30,1,1,1.903,84.9,40.7,3330.8,284.8,0
PTEST,VP_NoFB,VP,0,1,250,100,2,2,1.335,50.99,66.5,3635.9,217.2,0
PTEST,VP_NoFB,VP,0,5,400,30,2,3,1.52,38.71,30.5,3632.4,233.7,0
PTEST,VP_NoFB,VP,0,3,250,50,2,4,1.177,19.8,66.7,3392.1,359.0,0
PTEST,VP_NoFB,VP,0,4,400,50,1,5,1.568,50.83,34.4,3275.6,479.5,0
PTEST,VP_NoFB,VP,0,1,250,100,1,6,1.241,24.64,94.2,3665.3,331.8,0
PTEST,VP_NoFB,VP,0,2,400,100,2,7,1.353,35.66,79.9,3552.7,321.4,0
PTEST,VP_NoFB,VP,0,2,400,100,1,8,1.048,50.81,61.8,3610.0,422.9,0
PTEST,VP_NoFB,VP,0,4,400,50,2,9,1.128,26.21,44.0,3609.7,442.8,0
PTEST,VP_NoFB,VP,0,3,250,50,1,10,1.202,46.17,44.7,3384.6,427.0,0
PTEST,FVP_FB,FVP,1,2,400,100,2,1,1.811,26.04,86.2,3741.9,274.0,0
PTEST,FVP_FB,FVP,1,1,250,100,2,2,1.607,15.87,100.0,3371.7,310.8,0
PTEST,FVP_FB,FVP,1,4,400,50,1,3,1.697,40.4,39.6,3248.8,311.2,0
PTEST,FVP_FB,FVP,1,1,250,100,1,4,1.512,43.04,60.3,3350.2,361.5,0
PTEST,FVP_FB,FVP,1,5,400,30,2,5,1.693,24.01,22.3,3213.8,185.1,0
PTEST,FVP_FB,FVP,1,5,400,30,1,6,1.857,42.27,27.9,3938.3,497.2,0
PTEST,FVP_FB,FVP,1,2,400,100,1,7,1.389,53.33,63.0,3907.4,240.3,0
PTEST,FVP_FB,FVP,1,3,250,50,2,8,1.536,21.56,73.4,3639.3,243.1,0
PTEST,FVP_FB,FVP,1,4,400,50,2,9,1.64,76.63,33.7,3628.4,164.8,0
PTEST,FVP_FB,FVP,1,3,250,50,1,10,1.392,19.8,68.6,3490.4,154.3,0
PTEST,FVP_NoFB,FVP,0,3,250,50,1,1,1.256,22.3,76.1,3252.0,236.3,0
PTEST,FVP_NoFB,FVP,0,2,400,100,1,2,1.953,23.22,100.0,3355.6,394.5,0
PTEST,FVP_NoFB,FVP,0,3,250,50,2,3,1.639,30.6,66.8,3367.6,185.1,0
PTEST,FVP_NoFB,FVP,0,5,400,30,2,4,1.969,13.73,82.9,3750.2,341.0,0
PTEST,FVP_NoFB,FVP,0,4,400,50,2,5,1.345,57.5,21.4,3711.2,287.1,0
PTEST,FVP_NoFB,FVP,0,5,400,30,1,6,1.224,35.27,66.0,3728.5,471.1,0
PTEST,FVP_NoFB,FVP,0,1,250,100,2,7,1.4,16.02,100.0,3582.8,235.4,0
PTEST,FVP_NoFB,FVP,0,2,400,100,2,8,1.455,57.1,64.8,3518.9,266.2,0
PTEST,FVP_NoFB,FVP,0,1,250,100,1,9,1.368,25.49,90.1,3328.9,186.5,0
PTEST,FVP_NoFB,FVP,0,4,400,50,1,10,1.28,48.69,24.4,3549.2,245.3,0
PTEST,VP_FB,VP,1,3,250,50,1,1,1.728,30.03,15.3,3408.9,208.0,0
PTEST,VP_FB,VP,1,4,400,50,2,2,1.717,36.51,29.0,3448.8,180.3,0
PTEST,VP_FB,VP,1,3,250,50,2,3,1.529,11.38,83.8,3375.1,202.2,0
PTEST,VP_FB,VP,1,5,400,30,1,4,1.976,28.0,22.3,3476.1,289.2,0
PTEST,VP_FB,VP,1,1,250,100,2,5,1.688,25.92,73.9,3815.7,217.4,0
PTEST,VP_FB,VP,1,2,400,100,2,6,4.688,21.31,90.6,3786.7,177.6,0
PTEST,VP_FB,VP,1,5,400,30,2,7,3.857,20.41,9.8,3810.5,173.5,0
PTEST,VP_FB,VP,1,2,400,100,1,8,3.256,31.66,67.1,3596.3,194.9,0
PTEST,VP_FB,VP,1,4,400,50,1,9,3.822,18.57,66.6,3483.6,319.7,0
PTEST,VP_FB,VP,1,1,250,100,1,10,4.048,27.34,96.3,2416.7,1788.9,0
