ID,Bloc,Task,FB,IDc_Lvl,R,W,Rep,MT,RMSE,Pct_InT,Mean_Force,Std_Force,Timeout
Pilot_01,VP_FB,VP,1,3,250,50,1,3.023,28.68,40.7,2999.7,575.8,0
Pilot_01,VP_FB,VP,1,1,250,100,2,2.072,24.03,96.1,3559.8,324.7,0
Pilot_01,VP_FB,VP,1,4,400,50,2,3.292,25.15,44.0,3799.9,390.4,0
Pilot_01,VP_FB,VP,1,2,400,100,2,2.569,30.96,78.2,3601.1,392.5,0
Pilot_01,VP_FB,VP,1,2,400,100,1,2.617,31.42,77.1,4054.4,307.5,0
Pilot_01,VP_FB,VP,1,3,250,50,2,2.248,24.31,43.1,3798.9,435.2,0
Pilot_01,VP_FB,VP,1,5,400,30,1,3.425,32.43,23.1,3884.8,390.1,0
Pilot_01,VP_FB,VP,1,4,400,50,1,4.335,11.22,77.0,3653.7,198.2,0
Pilot_01,VP_FB,VP,1,1,250,100,1,2.008,15.5,100.0,3933.2,347.5,0
Pilot_01,VP_FB,VP,1,5,400,30,2,5.266,11.26,37.5,3437.6,415.6,0
Pilot_01,FVP_FB,FVP,1,2,400,100,1,5.308,14.89,97.1,3341.0,257.9,0
Pilot_01,FVP_FB,FVP,1,1,250,100,1,4.443,15.0,100.0,3548.9,386.3,0
Pilot_01,FVP_FB,FVP,1,4,400,50,1,6.503,10.45,78.6,4036.7,331.4,0
Pilot_01,FVP_FB,FVP,1,1,250,100,2,3.303,15.85,100.0,3361.0,281.6,0
Pilot_01,FVP_FB,FVP,1,5,400,30,2,4.032,14.66,28.0,3750.8,408.0,0
Pilot_01,FVP_FB,FVP,1,4,400,50,2,6.164,8.4,93.1,3253.9,449.5,0
Pilot_01,FVP_FB,FVP,1,3,250,50,2,3.179,14.42,64.2,3550.5,310.2,0
Pilot_01,FVP_FB,FVP,1,2,400,100,2,3.289,26.56,88.2,3315.7,446.1,0
Pilot_01,FVP_FB,FVP,1,5,400,30,1,4.22,11.12,27.4,3641.6,401.1,0
Pilot_01,FVP_FB,FVP,1,3,250,50,1,4.208,10.71,84.2,3365.5,472.4,0
Pilot_01,VP_NoFB,VP,0,1,250,100,2,1.64,33.21,88.3,3944.8,186.3,0
Pilot_01,VP_NoFB,VP,0,2,400,100,1,2.528,24.97,94.6,4099.9,261.5,0
Pilot_01,VP_NoFB,VP,0,4,400,50,2,4.619,29.23,52.2,4034.5,838.4,0
Pilot_01,VP_NoFB,VP,0,2,400,100,2,2.497,20.98,100.0,4477.4,141.0,0
Pilot_01,VP_NoFB,VP,0,4,400,50,1,3.352,9.82,100.0,4473.0,250.4,0
Pilot_01,VP_NoFB,VP,0,3,250,50,2,2.441,15.16,90.2,4654.0,226.1,0
Pilot_01,VP_NoFB,VP,0,5,400,30,2,3.8,16.19,54.1,4594.6,274.9,0
Pilot_01,VP_NoFB,VP,0,5,400,30,1,3.279,15.69,52.4,4890.2,232.8,0
Pilot_01,VP_NoFB,VP,0,1,250,100,1,1.888,19.38,100.0,4807.9,236.1,0
Pilot_01,VP_NoFB,VP,0,3,250,50,1,2.304,8.98,98.3,4392.1,230.8,0
Pilot_01,FVP_NoFB,FVP,0,4,400,50,1,3.543,16.25,81.7,3887.3,327.8,0
Pilot_01,FVP_NoFB,FVP,0,2,400,100,2,2.503,14.6,100.0,3945.3,283.8,0
Pilot_01,FVP_NoFB,FVP,0,3,250,50,1,2.464,14.14,88.3,3879.5,330.1,0
Pilot_01,FVP_NoFB,FVP,0,5,400,30,1,3.216,22.57,45.8,3950.6,290.4,0
Pilot_01,FVP_NoFB,FVP,0,1,250,100,1,1.784,14.56,100.0,3737.5,333.7,0
Pilot_01,FVP_NoFB,FVP,0,2,400,100,1,2.201,37.3,72.0,3916.4,330.1,0
Pilot_01,FVP_NoFB,FVP,0,4,400,50,2,2.368,14.08,89.5,4175.1,306.7,0
Pilot_01,FVP_NoFB,FVP,0,5,400,30,2,2.792,11.68,75.6,3667.4,275.5,0
Pilot_01,FVP_NoFB,FVP,0,3,250,50,2,1.703,14.89,89.2,3955.8,263.4,0
Pilot_01,FVP_NoFB,FVP,0,1,250,100,2,1.488,28.91,88.7,3754.4,272.7,0
